financial_year,state,area_of_expenditure,broad_source_of_funding,detailed_source_of_funding,real_expenditure_millions
2000-01,ACT,Community health,Government,State and local,82
2000-01,ACT,Dental services,Government,Australian Government,5
2000-01,ACT,Dental services,Government,State and local,6
2000-01,ACT,Medical expense tax rebate,Government,Australian Government,8
2000-01,ACT,Medical services,Government,Australian Government,200
2000-01,ACT,Other health practitioners,Government,Australian Government,18
2000-01,ACT,Patient transport services,Government,Australian Government,3
2000-01,ACT,Patient transport services,Government,State and local,4
2000-01,ACT,Private hospitals,Government,Australian Government,19
2000-01,ACT,Public health,Government,Australian Government,14
2000-01,ACT,Public health,Government,State and local,28
2000-01,ACT,Public hospitals,Government,Australian Government,145
2000-01,ACT,Public hospitals,Government,State and local,213
2000-01,ACT,Research,Government,Australian Government,96
2000-01,ACT,Research,Government,State and local,16
2000-01,NT,Administration,Government,Australian Government,25
2000-01,NT,Administration,Government,State and local,46
2000-01,NT,Aids and appliances,Government,Australian Government,2
2000-01,NT,All other medications,Government,Australian Government,2
2000-01,NT,Benefit-paid pharmaceuticals,Government,Australian Government,14
2000-01,NT,Capital expenditure,Government,Australian Government,4
2000-01,NT,Capital expenditure,Government,State and local,1
2000-01,NT,Community health,Government,Australian Government,54
2000-01,NT,Community health,Government,State and local,137
2000-01,NT,Dental services,Government,Australian Government,2
2000-01,NT,Dental services,Government,State and local,9
2000-01,NT,Medical expense tax rebate,Government,Australian Government,1
2000-01,NT,Medical services,Government,Australian Government,64
2000-01,NT,Other health practitioners,Government,Australian Government,6
2000-01,NT,Patient transport services,Government,Australian Government,2
2000-01,NT,Patient transport services,Government,State and local,27
2000-01,NT,Private hospitals,Government,Australian Government,7
2000-01,NT,Public health,Government,Australian Government,14
2000-01,NT,Public health,Government,State and local,47
2000-01,NT,Public hospitals,Government,Australian Government,103
2000-01,NT,Public hospitals,Government,State and local,165
2000-01,NT,Research,Government,Australian Government,13
2000-01,NT,Research,Government,State and local,4
2001-02,NSW,Administration,Government,Australian Government,449
2001-02,NSW,Administration,Government,State and local,14
2001-02,NSW,Aids and appliances,Government,Australian Government,76
2001-02,NSW,Aids and appliances,Government,State and local,17
2001-02,NSW,All other medications,Government,Australian Government,27
2001-02,NSW,Benefit-paid pharmaceuticals,Government,Australian Government,1689
2001-02,NSW,Capital expenditure,Government,Australian Government,20
2001-02,NSW,Capital expenditure,Government,State and local,516
2001-02,NSW,Community health,Government,Australian Government,84
2001-02,NSW,Community health,Government,State and local,1355
2001-02,NSW,Dental services,Government,Australian Government,182
2001-02,NSW,Dental services,Government,State and local,111
2001-02,NSW,Medical expense tax rebate,Government,Australian Government,125
2001-02,NSW,Medical services,Government,Australian Government,4632
2001-02,NSW,Other health practitioners,Government,Australian Government,267
2001-02,NSW,Patient transport services,Government,Australian Government,65
2001-02,NSW,Patient transport services,Government,State and local,228
2001-02,NSW,Private hospitals,Government,Australian Government,689
2001-02,NSW,Public health,Government,Australian Government,263
2001-02,NSW,Public health,Government,State and local,184
2001-02,NSW,Public hospitals,Government,Australian Government,3804
2001-02,NSW,Public hospitals,Government,State and local,3862
2001-02,NSW,Research,Government,Australian Government,391
2001-02,NSW,Research,Government,State and local,58
2001-02,VIC,Administration,Government,Australian Government,302
2001-02,VIC,Administration,Government,State and local,1
2001-02,VIC,Aids and appliances,Government,Australian Government,43
2001-02,VIC,Aids and appliances,Government,State and local,23
2001-02,VIC,All other medications,Government,Australian Government,16
2001-02,VIC,Benefit-paid pharmaceuticals,Government,Australian Government,1182
2001-02,VIC,Capital expenditure,Government,Australian Government,18
2001-02,VIC,Capital expenditure,Government,State and local,367
2001-02,VIC,Community health,Government,Australian Government,25
2001-02,VIC,Community health,Government,State and local,784
2001-02,VIC,Dental services,Government,Australian Government,85
2001-02,VIC,Dental services,Government,State and local,135
2001-02,VIC,Medical expense tax rebate,Government,Australian Government,76
2001-02,VIC,Medical services,Government,Australian Government,3172
2001-02,VIC,Other health practitioners,Government,Australian Government,176
2001-02,VIC,Patient transport services,Government,Australian Government,21
2001-02,VIC,Patient transport services,Government,State and local,142
2001-02,VIC,Private hospitals,Government,Australian Government,582
2001-02,VIC,Public health,Government,Australian Government,171
2001-02,VIC,Public health,Government,State and local,175
2001-02,VIC,Public hospitals,Government,Australian Government,2595
2001-02,VIC,Public hospitals,Government,State and local,2918
2001-02,VIC,Research,Government,Australian Government,448
2001-02,VIC,Research,Government,State and local,129
2001-02,QLD,Administration,Government,Australian Government,251
2001-02,QLD,Administration,Government,State and local,98
2001-02,QLD,Aids and appliances,Government,Australian Government,40
2001-02,QLD,Aids and appliances,Government,State and local,0
2001-02,QLD,All other medications,Government,Australian Government,16
2001-02,QLD,Benefit-paid pharmaceuticals,Government,Australian Government,863
2001-02,QLD,Capital expenditure,Government,Australian Government,14
2001-02,QLD,Capital expenditure,Government,State and local,548
2001-02,QLD,Community health,Government,Australian Government,89
2001-02,QLD,Community health,Government,State and local,1027
2001-02,QLD,Dental services,Government,Australian Government,96
2001-02,QLD,Dental services,Government,State and local,156
2001-02,QLD,Medical expense tax rebate,Government,Australian Government,45
2001-02,QLD,Medical services,Government,Australian Government,2327
2001-02,QLD,Other health practitioners,Government,Australian Government,153
2001-02,QLD,Patient transport services,Government,Australian Government,28
2001-02,QLD,Patient transport services,Government,State and local,250
2001-02,QLD,Private hospitals,Government,Australian Government,624
2001-02,QLD,Public health,Government,Australian Government,136
2001-02,QLD,Public health,Government,State and local,115
2001-02,QLD,Public hospitals,Government,Australian Government,1956
2001-02,QLD,Public hospitals,Government,State and local,1914
2001-02,QLD,Research,Government,Australian Government,191
2001-02,QLD,Research,Government,State and local,27
2001-02,WA,Administration,Government,Australian Government,132
2001-02,WA,Administration,Government,State and local,129
2001-02,WA,Aids and appliances,Government,Australian Government,22
2001-02,WA,All other medications,Government,Australian Government,8
2001-02,WA,Benefit-paid pharmaceuticals,Government,Australian Government,408
2001-02,WA,Capital expenditure,Government,Australian Government,10
2001-02,WA,Capital expenditure,Government,State and local,105
2001-02,WA,Community health,Government,Australian Government,62
2001-02,WA,Community health,Government,State and local,181
2001-02,WA,Dental services,Government,Australian Government,60
2001-02,WA,Dental services,Government,State and local,64
2001-02,WA,Medical expense tax rebate,Government,Australian Government,22
2001-02,WA,Medical services,Government,Australian Government,1192
2001-02,WA,Other health practitioners,Government,Australian Government,77
2001-02,WA,Patient transport services,Government,Australian Government,20
2001-02,WA,Patient transport services,Government,State and local,14
2001-02,WA,Private hospitals,Government,Australian Government,247
2001-02,WA,Public health,Government,Australian Government,73
2001-02,WA,Public health,Government,State and local,84
2001-02,WA,Public hospitals,Government,Australian Government,1067
2001-02,WA,Public hospitals,Government,State and local,1115
2001-02,WA,Research,Government,Australian Government,123
2001-02,WA,Research,Government,State and local,18
2001-02,SA,Administration,Government,Australian Government,117
2001-02,SA,Administration,Government,State and local,45
2001-02,SA,Aids and appliances,Government,Australian Government,18
2001-02,SA,All other medications,Government,Australian Government,7
2001-02,SA,Benefit-paid pharmaceuticals,Government,Australian Government,399
2001-02,SA,Capital expenditure,Government,Australian Government,10
2001-02,SA,Capital expenditure,Government,State and local,112
2001-02,SA,Community health,Government,Australian Government,25
2001-02,SA,Community health,Government,State and local,155
2001-02,SA,Dental services,Government,Australian Government,46
2001-02,SA,Dental services,Government,State and local,52
2001-02,SA,Medical expense tax rebate,Government,Australian Government,15
2001-02,SA,Medical services,Government,Australian Government,982
2001-02,SA,Other health practitioners,Government,Australian Government,66
2001-02,SA,Patient transport services,Government,Australian Government,13
2001-02,SA,Patient transport services,Government,State and local,56
2001-02,SA,Private hospitals,Government,Australian Government,179
2001-02,SA,Public health,Government,Australian Government,70
2001-02,SA,Public health,Government,State and local,61
2001-02,SA,Public hospitals,Government,Australian Government,953
2001-02,SA,Public hospitals,Government,State and local,906
2001-02,SA,Research,Government,Australian Government,136
2001-02,SA,Research,Government,State and local,17
2001-02,TAS,Administration,Government,Australian Government,40
2001-02,TAS,Administration,Government,State and local,78
2001-02,TAS,Aids and appliances,Government,Australian Government,6
2001-02,TAS,All other medications,Government,Australian Government,4
2001-02,TAS,Benefit-paid pharmaceuticals,Government,Australian Government,132
2001-02,TAS,Capital expenditure,Government,Australian Government,5
2001-02,TAS,Capital expenditure,Government,State and local,17
2001-02,TAS,Community health,Government,Australian Government,11
2001-02,TAS,Community health,Government,State and local,270
2001-02,TAS,Dental services,Government,Australian Government,11
2001-02,TAS,Dental services,Government,State and local,14
2001-02,TAS,Medical expense tax rebate,Government,Australian Government,4
2001-02,TAS,Medical services,Government,Australian Government,303
2001-02,TAS,Other health practitioners,Government,Australian Government,21
2001-02,TAS,Patient transport services,Government,Australian Government,3
2001-02,TAS,Patient transport services,Government,State and local,35
2001-02,TAS,Private hospitals,Government,Australian Government,70
2001-02,TAS,Public health,Government,Australian Government,28
2001-02,TAS,Public health,Government,State and local,20
2001-02,TAS,Public hospitals,Government,Australian Government,235
2001-02,TAS,Public hospitals,Government,State and local,232
2001-02,TAS,Research,Government,Australian Government,21
2001-02,TAS,Research,Government,State and local,6
2001-02,ACT,Administration,Government,Australian Government,77
2001-02,ACT,Administration,Government,State and local,0
2001-02,ACT,Aids and appliances,Government,Australian Government,4
2001-02,ACT,Aids and appliances,Government,State and local,10
2001-02,ACT,All other medications,Government,Australian Government,2
2001-02,ACT,Benefit-paid pharmaceuticals,Government,Australian Government,61
2001-02,ACT,Capital expenditure,Government,Australian Government,2
2001-02,ACT,Capital expenditure,Government,State and local,26
2001-02,ACT,Community health,Government,Australian Government,3
2001-02,ACT,Community health,Government,State and local,111
2001-02,ACT,Dental services,Government,Australian Government,10
2001-02,ACT,Dental services,Government,State and local,10
2001-02,ACT,Medical expense tax rebate,Government,Australian Government,9
2001-02,ACT,Medical services,Government,Australian Government,191
2001-02,ACT,Other health practitioners,Government,Australian Government,16
2001-02,ACT,Patient transport services,Government,Australian Government,4
2001-02,ACT,Patient transport services,Government,State and local,1
2001-02,ACT,Private hospitals,Government,Australian Government,31
2001-02,ACT,Public health,Government,Australian Government,19
2001-02,ACT,Public health,Government,State and local,23
2001-02,ACT,Public hospitals,Government,Australian Government,145
2001-02,ACT,Public hospitals,Government,State and local,259
2001-02,ACT,Research,Government,Australian Government,109
2001-02,ACT,Research,Government,State and local,16
2001-02,NT,Administration,Government,Australian Government,20
2001-02,NT,Administration,Government,State and local,0
2001-02,NT,Aids and appliances,Government,Australian Government,2
2001-02,NT,All other medications,Government,Australian Government,2
2001-02,NT,All other medications,Government,State and local,2
2001-02,NT,Benefit-paid pharmaceuticals,Government,Australian Government,23
2001-02,NT,Capital expenditure,Government,Australian Government,5
2001-02,NT,Capital expenditure,Government,State and local,6
2001-02,NT,Community health,Government,Australian Government,60
2001-02,NT,Community health,Government,State and local,126
2001-02,NT,Dental services,Government,Australian Government,2
2001-02,NT,Dental services,Government,State and local,10
2001-02,NT,Medical expense tax rebate,Government,Australian Government,1
2001-02,NT,Medical services,Government,Australian Government,72
2001-02,NT,Other health practitioners,Government,Australian Government,5
2001-02,NT,Patient transport services,Government,Australian Government,5
2001-02,NT,Patient transport services,Government,State and local,32
2001-02,NT,Private hospitals,Government,Australian Government,8
2001-02,NT,Public health,Government,Australian Government,19
2001-02,NT,Public health,Government,State and local,42
2001-02,NT,Public hospitals,Government,Australian Government,106
2001-02,NT,Public hospitals,Government,State and local,201
2001-02,NT,Research,Government,Australian Government,12
2001-02,NT,Research,Government,State and local,3
2002-03,NSW,Administration,Government,Australian Government,480
2002-03,NSW,Administration,Government,State and local,71
2002-03,NSW,Aids and appliances,Government,Australian Government,81
2002-03,NSW,All other medications,Government,Australian Government,31
2002-03,NSW,Benefit-paid pharmaceuticals,Government,Australian Government,1847
2002-03,NSW,Capital expenditure,Government,Australian Government,18
2002-03,NSW,Capital expenditure,Government,State and local,546
2002-03,NSW,Community health,Government,Australian Government,73
2002-03,NSW,Community health,Government,State and local,1210
2002-03,NSW,Dental services,Government,Australian Government,175
2002-03,NSW,Dental services,Government,State and local,159
2002-03,NSW,Medical expense tax rebate,Government,Australian Government,135
2002-03,NSW,Medical services,Government,Australian Government,4607
2002-03,NSW,Other health practitioners,Government,Australian Government,274
2002-03,NSW,Patient transport services,Government,Australian Government,66
2002-03,NSW,Patient transport services,Government,State and local,239
2002-03,NSW,Private hospitals,Government,Australian Government,707
2002-03,NSW,Private hospitals,Government,State and local,106
2002-03,NSW,Public health,Government,Australian Government,313
2002-03,NSW,Public health,Government,State and local,141
2002-03,NSW,Public hospitals,Government,Australian Government,4022
2002-03,NSW,Public hospitals,Government,State and local,4217
2002-03,NSW,Research,Government,Australian Government,426
2002-03,NSW,Research,Government,State and local,55
2002-03,VIC,Administration,Government,Australian Government,332
2002-03,VIC,Administration,Government,State and local,19
2002-03,VIC,Aids and appliances,Government,Australian Government,48
2002-03,VIC,All other medications,Government,Australian Government,18
2002-03,VIC,Benefit-paid pharmaceuticals,Government,Australian Government,1317
2002-03,VIC,Capital expenditure,Government,Australian Government,17
2002-03,VIC,Capital expenditure,Government,State and local,653
2002-03,VIC,Community health,Government,Australian Government,38
2002-03,VIC,Community health,Government,State and local,1055
2002-03,VIC,Dental services,Government,Australian Government,88
2002-03,VIC,Dental services,Government,State and local,102
2002-03,VIC,Medical expense tax rebate,Government,Australian Government,79
2002-03,VIC,Medical services,Government,Australian Government,3166
2002-03,VIC,Other health practitioners,Government,Australian Government,184
2002-03,VIC,Patient transport services,Government,Australian Government,30
2002-03,VIC,Patient transport services,Government,State and local,205
2002-03,VIC,Private hospitals,Government,Australian Government,623
2002-03,VIC,Private hospitals,Government,State and local,0
2002-03,VIC,Public health,Government,Australian Government,207
2002-03,VIC,Public health,Government,State and local,180
2002-03,VIC,Public hospitals,Government,Australian Government,2728
2002-03,VIC,Public hospitals,Government,State and local,3448
2002-03,VIC,Research,Government,Australian Government,499
2002-03,VIC,Research,Government,State and local,97
2002-03,QLD,Administration,Government,Australian Government,287
2002-03,QLD,Administration,Government,State and local,77
2002-03,QLD,Aids and appliances,Government,Australian Government,42
2002-03,QLD,All other medications,Government,Australian Government,18
2002-03,QLD,Benefit-paid pharmaceuticals,Government,Australian Government,959
2002-03,QLD,Capital expenditure,Government,Australian Government,12
2002-03,QLD,Capital expenditure,Government,State and local,298
2002-03,QLD,Community health,Government,Australian Government,68
2002-03,QLD,Community health,Government,State and local,1058
2002-03,QLD,Dental services,Government,Australian Government,95
2002-03,QLD,Dental services,Government,State and local,151
2002-03,QLD,Medical expense tax rebate,Government,Australian Government,50
2002-03,QLD,Medical services,Government,Australian Government,2310
2002-03,QLD,Other health practitioners,Government,Australian Government,161
2002-03,QLD,Patient transport services,Government,Australian Government,28
2002-03,QLD,Patient transport services,Government,State and local,244
2002-03,QLD,Private hospitals,Government,Australian Government,664
2002-03,QLD,Private hospitals,Government,State and local,30
2002-03,QLD,Public health,Government,Australian Government,176
2002-03,QLD,Public health,Government,State and local,102
2002-03,QLD,Public hospitals,Government,Australian Government,2094
2002-03,QLD,Public hospitals,Government,State and local,2134
2002-03,QLD,Research,Government,Australian Government,202
2002-03,QLD,Research,Government,State and local,26
2002-03,WA,Administration,Government,Australian Government,138
2002-03,WA,Administration,Government,State and local,152
2002-03,WA,Aids and appliances,Government,Australian Government,24
2002-03,WA,All other medications,Government,Australian Government,8
2002-03,WA,Benefit-paid pharmaceuticals,Government,Australian Government,455
2002-03,WA,Capital expenditure,Government,Australian Government,9
2002-03,WA,Capital expenditure,Government,State and local,104
2002-03,WA,Community health,Government,Australian Government,71
2002-03,WA,Community health,Government,State and local,361
2002-03,WA,Dental services,Government,Australian Government,58
2002-03,WA,Dental services,Government,State and local,65
2002-03,WA,Medical expense tax rebate,Government,Australian Government,23
2002-03,WA,Medical services,Government,Australian Government,1197
2002-03,WA,Other health practitioners,Government,Australian Government,78
2002-03,WA,Patient transport services,Government,Australian Government,21
2002-03,WA,Patient transport services,Government,State and local,54
2002-03,WA,Private hospitals,Government,Australian Government,265
2002-03,WA,Private hospitals,Government,State and local,216
2002-03,WA,Public health,Government,Australian Government,88
2002-03,WA,Public health,Government,State and local,80
2002-03,WA,Public hospitals,Government,Australian Government,1149
2002-03,WA,Public hospitals,Government,State and local,1172
2002-03,WA,Research,Government,Australian Government,124
2002-03,WA,Research,Government,State and local,20
2002-03,SA,Administration,Government,Australian Government,123
2002-03,SA,Administration,Government,State and local,89
2002-03,SA,Aids and appliances,Government,Australian Government,19
2002-03,SA,All other medications,Government,Australian Government,8
2002-03,SA,Benefit-paid pharmaceuticals,Government,Australian Government,441
2002-03,SA,Capital expenditure,Government,Australian Government,9
2002-03,SA,Capital expenditure,Government,State and local,147
2002-03,SA,Community health,Government,Australian Government,39
2002-03,SA,Community health,Government,State and local,388
2002-03,SA,Dental services,Government,Australian Government,47
2002-03,SA,Dental services,Government,State and local,59
2002-03,SA,Medical expense tax rebate,Government,Australian Government,16
2002-03,SA,Medical services,Government,Australian Government,971
2002-03,SA,Other health practitioners,Government,Australian Government,69
2002-03,SA,Patient transport services,Government,Australian Government,13
2002-03,SA,Patient transport services,Government,State and local,62
2002-03,SA,Private hospitals,Government,Australian Government,183
2002-03,SA,Private hospitals,Government,State and local,4
2002-03,SA,Public health,Government,Australian Government,80
2002-03,SA,Public health,Government,State and local,67
2002-03,SA,Public hospitals,Government,Australian Government,1003
2002-03,SA,Public hospitals,Government,State and local,899
2002-03,SA,Research,Government,Australian Government,136
2002-03,SA,Research,Government,State and local,16
2002-03,TAS,Administration,Government,Australian Government,40
2002-03,TAS,Administration,Government,State and local,39
2002-03,TAS,Aids and appliances,Government,Australian Government,6
2002-03,TAS,All other medications,Government,Australian Government,4
2002-03,TAS,Benefit-paid pharmaceuticals,Government,Australian Government,143
2002-03,TAS,Capital expenditure,Government,Australian Government,4
2002-03,TAS,Capital expenditure,Government,State and local,6
2002-03,TAS,Community health,Government,Australian Government,8
2002-03,TAS,Community health,Government,State and local,94
2002-03,TAS,Dental services,Government,Australian Government,10
2002-03,TAS,Dental services,Government,State and local,12
2002-03,TAS,Medical expense tax rebate,Government,Australian Government,4
2002-03,TAS,Medical services,Government,Australian Government,299
2002-03,TAS,Other health practitioners,Government,Australian Government,21
2002-03,TAS,Patient transport services,Government,Australian Government,3
2002-03,TAS,Patient transport services,Government,State and local,29
2002-03,TAS,Private hospitals,Government,Australian Government,71
2002-03,TAS,Private hospitals,Government,State and local,26
2002-03,TAS,Public health,Government,Australian Government,32
2002-03,TAS,Public health,Government,State and local,21
2002-03,TAS,Public hospitals,Government,Australian Government,247
2002-03,TAS,Public hospitals,Government,State and local,225
2002-03,TAS,Research,Government,Australian Government,31
2002-03,TAS,Research,Government,State and local,9
2002-03,ACT,Administration,Government,Australian Government,68
2002-03,ACT,Administration,Government,State and local,50
2002-03,ACT,Aids and appliances,Government,Australian Government,4
2002-03,ACT,All other medications,Government,Australian Government,2
2002-03,ACT,Benefit-paid pharmaceuticals,Government,Australian Government,68
2002-03,ACT,Capital expenditure,Government,Australian Government,2
2002-03,ACT,Capital expenditure,Government,State and local,17
2002-03,ACT,Community health,Government,Australian Government,4
2002-03,ACT,Community health,Government,State and local,148
2002-03,ACT,Dental services,Government,Australian Government,8
2002-03,ACT,Dental services,Government,State and local,7
2002-03,ACT,Medical expense tax rebate,Government,Australian Government,10
2002-03,ACT,Medical services,Government,Australian Government,184
2002-03,ACT,Other health practitioners,Government,Australian Government,12
2002-03,ACT,Patient transport services,Government,Australian Government,3
2002-03,ACT,Patient transport services,Government,State and local,3
2002-03,ACT,Private hospitals,Government,Australian Government,32
2002-03,ACT,Private hospitals,Government,State and local,0
2002-03,ACT,Public health,Government,Australian Government,20
2002-03,ACT,Public health,Government,State and local,23
2002-03,ACT,Public hospitals,Government,Australian Government,156
2002-03,ACT,Public hospitals,Government,State and local,279
2002-03,ACT,Research,Government,Australian Government,118
2002-03,ACT,Research,Government,State and local,16
2002-03,NT,Administration,Government,Australian Government,16
2002-03,NT,Administration,Government,State and local,33
2002-03,NT,Aids and appliances,Government,Australian Government,2
2002-03,NT,All other medications,Government,Australian Government,3
2002-03,NT,Benefit-paid pharmaceuticals,Government,Australian Government,26
2002-03,NT,Capital expenditure,Government,Australian Government,5
2002-03,NT,Capital expenditure,Government,State and local,9
2002-03,NT,Community health,Government,Australian Government,64
2002-03,NT,Community health,Government,State and local,119
2002-03,NT,Dental services,Government,Australian Government,2
2002-03,NT,Dental services,Government,State and local,9
2002-03,NT,Medical expense tax rebate,Government,Australian Government,1
2002-03,NT,Medical services,Government,Australian Government,70
2002-03,NT,Other health practitioners,Government,Australian Government,5
2002-03,NT,Patient transport services,Government,Australian Government,5
2002-03,NT,Patient transport services,Government,State and local,33
2002-03,NT,Private hospitals,Government,Australian Government,8
2002-03,NT,Private hospitals,Government,State and local,2
2002-03,NT,Public health,Government,Australian Government,20
2002-03,NT,Public health,Government,State and local,38
2002-03,NT,Public hospitals,Government,Australian Government,114
2002-03,NT,Public hospitals,Government,State and local,248
2002-03,NT,Research,Government,Australian Government,11
2002-03,NT,Research,Government,State and local,2
2003-04,NSW,Administration,Government,Australian Government,517
2003-04,NSW,Administration,Government,State and local,0
2003-04,NSW,Aids and appliances,Government,Australian Government,80
2003-04,NSW,All other medications,Government,Australian Government,38
2003-04,NSW,Benefit-paid pharmaceuticals,Government,Australian Government,2000
2003-04,NSW,Capital expenditure,Government,Australian Government,23
2003-04,NSW,Capital expenditure,Government,State and local,433
2003-04,NSW,Community health,Government,Australian Government,95
2003-04,NSW,Community health,Government,State and local,1126
2003-04,NSW,Dental services,Government,Australian Government,169
2003-04,NSW,Dental services,Government,State and local,161
2003-04,NSW,Medical expense tax rebate,Government,Australian Government,143
2003-04,NSW,Medical services,Government,Australian Government,4527
2003-04,NSW,Other health practitioners,Government,Australian Government,287
2003-04,NSW,Patient transport services,Government,Australian Government,65
2003-04,NSW,Patient transport services,Government,State and local,347
2003-04,NSW,Private hospitals,Government,Australian Government,745
2003-04,NSW,Private hospitals,Government,State and local,0
2003-04,NSW,Public health,Government,Australian Government,281
2003-04,NSW,Public health,Government,State and local,130
2003-04,NSW,Public hospitals,Government,Australian Government,3984
2003-04,NSW,Public hospitals,Government,State and local,5304
2003-04,NSW,Research,Government,Australian Government,443
2003-04,NSW,Research,Government,State and local,70
2003-04,VIC,Administration,Government,Australian Government,366
2003-04,VIC,Administration,Government,State and local,0
2003-04,VIC,Aids and appliances,Government,Australian Government,48
2003-04,VIC,All other medications,Government,Australian Government,24
2003-04,VIC,Benefit-paid pharmaceuticals,Government,Australian Government,1448
2003-04,VIC,Capital expenditure,Government,Australian Government,21
2003-04,VIC,Capital expenditure,Government,State and local,237
2003-04,VIC,Community health,Government,Australian Government,54
2003-04,VIC,Community health,Government,State and local,714
2003-04,VIC,Dental services,Government,Australian Government,85
2003-04,VIC,Dental services,Government,State and local,108
2003-04,VIC,Medical expense tax rebate,Government,Australian Government,84
2003-04,VIC,Medical services,Government,Australian Government,3198
2003-04,VIC,Other health practitioners,Government,Australian Government,196
2003-04,VIC,Patient transport services,Government,Australian Government,31
2003-04,VIC,Patient transport services,Government,State and local,219
2003-04,VIC,Private hospitals,Government,Australian Government,637
2003-04,VIC,Private hospitals,Government,State and local,0
2003-04,VIC,Public health,Government,Australian Government,192
2003-04,VIC,Public health,Government,State and local,179
2003-04,VIC,Public hospitals,Government,Australian Government,2743
2003-04,VIC,Public hospitals,Government,State and local,3256
2003-04,VIC,Research,Government,Australian Government,517
2003-04,VIC,Research,Government,State and local,107
2003-04,QLD,Administration,Government,Australian Government,315
2003-04,QLD,Administration,Government,State and local,82
2003-04,QLD,Aids and appliances,Government,Australian Government,43
2003-04,QLD,All other medications,Government,Australian Government,23
2003-04,QLD,Benefit-paid pharmaceuticals,Government,Australian Government,1068
2003-04,QLD,Capital expenditure,Government,Australian Government,15
2003-04,QLD,Capital expenditure,Government,State and local,336
2003-04,QLD,Community health,Government,Australian Government,83
2003-04,QLD,Community health,Government,State and local,701
2003-04,QLD,Dental services,Government,Australian Government,91
2003-04,QLD,Dental services,Government,State and local,153
2003-04,QLD,Medical expense tax rebate,Government,Australian Government,53
2003-04,QLD,Medical services,Government,Australian Government,2417
2003-04,QLD,Other health practitioners,Government,Australian Government,169
2003-04,QLD,Patient transport services,Government,Australian Government,41
2003-04,QLD,Patient transport services,Government,State and local,357
2003-04,QLD,Private hospitals,Government,Australian Government,710
2003-04,QLD,Private hospitals,Government,State and local,30
2003-04,QLD,Public health,Government,Australian Government,151
2003-04,QLD,Public health,Government,State and local,125
2003-04,QLD,Public hospitals,Government,Australian Government,2132
2003-04,QLD,Public hospitals,Government,State and local,2271
2003-04,QLD,Research,Government,Australian Government,219
2003-04,QLD,Research,Government,State and local,30
2003-04,WA,Administration,Government,Australian Government,157
2003-04,WA,Administration,Government,State and local,156
2003-04,WA,Aids and appliances,Government,Australian Government,24
2003-04,WA,All other medications,Government,Australian Government,11
2003-04,WA,Benefit-paid pharmaceuticals,Government,Australian Government,500
2003-04,WA,Capital expenditure,Government,Australian Government,11
2003-04,WA,Capital expenditure,Government,State and local,0
2003-04,WA,Community health,Government,Australian Government,87
2003-04,WA,Community health,Government,State and local,522
2003-04,WA,Dental services,Government,Australian Government,54
2003-04,WA,Dental services,Government,State and local,65
2003-04,WA,Medical expense tax rebate,Government,Australian Government,24
2003-04,WA,Medical services,Government,Australian Government,1196
2003-04,WA,Other health practitioners,Government,Australian Government,82
2003-04,WA,Patient transport services,Government,Australian Government,20
2003-04,WA,Patient transport services,Government,State and local,58
2003-04,WA,Private hospitals,Government,Australian Government,280
2003-04,WA,Private hospitals,Government,State and local,220
2003-04,WA,Public health,Government,Australian Government,78
2003-04,WA,Public health,Government,State and local,89
2003-04,WA,Public hospitals,Government,Australian Government,1166
2003-04,WA,Public hospitals,Government,State and local,1233
2003-04,WA,Research,Government,Australian Government,147
2003-04,WA,Research,Government,State and local,29
2003-04,SA,Administration,Government,Australian Government,131
2003-04,SA,Administration,Government,State and local,178
2003-04,SA,Aids and appliances,Government,Australian Government,19
2003-04,SA,All other medications,Government,Australian Government,10
2003-04,SA,Benefit-paid pharmaceuticals,Government,Australian Government,479
2003-04,SA,Capital expenditure,Government,Australian Government,11
2003-04,SA,Capital expenditure,Government,State and local,142
2003-04,SA,Community health,Government,Australian Government,49
2003-04,SA,Community health,Government,State and local,340
2003-04,SA,Dental services,Government,Australian Government,46
2003-04,SA,Dental services,Government,State and local,54
2003-04,SA,Medical expense tax rebate,Government,Australian Government,16
2003-04,SA,Medical services,Government,Australian Government,977
2003-04,SA,Other health practitioners,Government,Australian Government,71
2003-04,SA,Patient transport services,Government,Australian Government,13
2003-04,SA,Patient transport services,Government,State and local,54
2003-04,SA,Private hospitals,Government,Australian Government,178
2003-04,SA,Private hospitals,Government,State and local,5
2003-04,SA,Public health,Government,Australian Government,71
2003-04,SA,Public health,Government,State and local,71
2003-04,SA,Public hospitals,Government,Australian Government,992
2003-04,SA,Public hospitals,Government,State and local,1018
2003-04,SA,Research,Government,Australian Government,143
2003-04,SA,Research,Government,State and local,19
2003-04,TAS,Administration,Government,Australian Government,45
2003-04,TAS,Administration,Government,State and local,50
2003-04,TAS,Aids and appliances,Government,Australian Government,6
2003-04,TAS,All other medications,Government,Australian Government,6
2003-04,TAS,Benefit-paid pharmaceuticals,Government,Australian Government,158
2003-04,TAS,Capital expenditure,Government,Australian Government,5
2003-04,TAS,Capital expenditure,Government,State and local,21
2003-04,TAS,Community health,Government,Australian Government,11
2003-04,TAS,Community health,Government,State and local,82
2003-04,TAS,Dental services,Government,Australian Government,10
2003-04,TAS,Dental services,Government,State and local,12
2003-04,TAS,Medical expense tax rebate,Government,Australian Government,4
2003-04,TAS,Medical services,Government,Australian Government,297
